"lon","lat","order"
106.504147,35.736185,1
106.504268,35.735785,2
106.503654,35.733012,3
106.503671,35.730868,4
106.503385,35.730017,5
106.50252,35.729397,6
106.501309,35.729175,7
106.499379,35.729028,8
106.497968,35.729226,9
106.497363,35.729695,10
106.497372,35.730396,11
106.497813,35.731265,12
106.498306,35.731804,13
106.498073,35.73218,14
106.497952,35.732454,15
106.497891,35.732587,16
106.497986,35.733025,17
106.498376,35.733248,18
106.498869,35.73324,19
106.499328,35.733201,20
106.499821,35.733313,21
106.499976,35.733595,22
106.500072,35.73458,23
106.500643,35.735097,24
106.501352,35.735655,25
106.502702,35.736509,26
106.503723,35.736603,27
106.504069,35.736422,28
106.504147,NA,29
106.073756,35.454692,30
106.073328,35.453378,31
106.073105,35.452117,32
106.072892,35.451082,33
106.073257,35.450162,34
106.071302,35.449437,35
106.069536,35.452815,36
106.068918,35.454422,37
106.068788,35.456028,38
106.069432,35.457461,39
106.069793,35.458127,40
106.074093,NA,41
106.073064,35.420097,42
106.071725,35.419937,43
106.069846,35.421322,44
106.067829,35.42305,45
106.065315,35.424836,46
106.064271,35.425809,47
106.063575,35.426733,48
106.063305,35.427367,49
106.063445,35.428105,50
106.06381,35.429194,51
106.064384,35.430566,52
106.064602,35.431993,53
106.064611,35.433652,54
106.064411,35.434972,55
106.063941,35.43664,56
106.063654,35.437097,57
106.063523,35.437901,58
106.064089,35.438699,59
106.064933,35.4391,60
106.066055,35.438919,61
106.066673,35.437649,62
106.067725,35.436274,63
106.067882,35.436088,64
106.069038,35.43473,65
106.070439,35.433574,66
106.072534,35.432589,67
106.073865,35.431952,68
106.074421,35.431379,69
106.074691,35.430694,70
106.074543,35.429775,71
106.074047,35.428632,72
106.072917,35.427496,73
106.072282,35.426805,74
106.071986,35.426005,75
106.071777,35.425151,76
106.072038,35.42412,77
106.072456,35.423083,78
106.072934,35.421876,79
106.073003,35.421135,80
106.073029,NA,81
105.49048,36.190837,82
105.490964,36.190833,83
105.491579,36.190864,84
105.492012,36.190969,85
