cyear,ccode,scode,country,year,flag,fragment,democ,autoc,polity,polity2,durable,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp,prior,emonth,eday,eyear,eprec,interim,bmonth,bday,byear,bprec,post,change,d4,sf,regtrans
3752008,375,FIN,Finland,2008,0,0,10,0,10,10,64,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
9502008,950,FJI,Fiji,2008,1,0,0,4,-4,-4,1,1,0,0,2,3,2,4,2,3,,,,,,,,,,,,,,,
2202008,220,FRN,France,2008,0,0,9,0,9,9,39,3,3,4,6,5,5,8,6,10,,,,,,,,,,,,,,,
4812008,481,GAB,Gabon,2008,0,0,0,4,-4,-4,17,2,0,0,2,3,2,5,2,3,,,,,,,,,,,,,,,
4202008,420,GAM,Gambia,2008,0,0,0,5,-5,-5,11,2,0,0,2,4,2,5,2,2,,,,,,,,,,,,,,,
4522008,452,GHA,Ghana,2008,1,0,8,0,8,8,7,3,3,4,6,2,4,8,6,9,,,,,,,,,,,,,,,
2552008,255,GMY,Germany,2008,0,0,10,0,10,10,18,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
4042008,404,GNB,Guinea-Bissau,2008,2,0,6,0,6,6,3,2,2,4,6,2,3,7,6,7,,,,,,,,,,,,,,,
3502008,350,GRC,Greece,2008,0,0,10,0,10,10,33,3,3,4,7,5,5,8,7,10,,,,,,,,,,,,,,,
3722008,372,GRG,Georgia,2008,1,2,7,1,6,6,17,3,3,4,5,3,4,8,5,8,,,,,,,,,,,,,,,
902008,90,GUA,Guatemala,2008,0,0,8,0,8,8,12,3,3,4,6,2,4,8,6,9,,,,,,,,,,,,,,,
4382008,438,GUI,Guinea,2008,0,0,1,2,-1,-1,13,1,0,0,3,3,3,4,3,6,-1,12,23,2008,1,,12,24,2008,1,-1,0,1,,0
1102008,110,GUY,Guyana,2008,0,0,6,0,6,6,16,3,3,4,5,2,3,8,5,7,,,,,,,,,,,,,,,
412008,41,HAI,Haiti,2008,2,0,6,1,5,5,2,2,2,4,6,3,3,7,6,6,,,,,,,,,,,,,,,
