"lon","lat","order"
121.778859,31.310198,1
121.775374,31.31067,2
121.770952,31.31168,3
121.767397,31.313293,4
121.764248,31.315309,5
121.760762,31.320345,6
121.75586,31.329072,7
121.751166,31.337799,8
121.747408,31.341189,9
121.744656,31.343672,10
121.740767,31.346488,11
121.733117,31.351519,12
121.727939,31.354803,13
121.686683,31.376591,14
121.641039,31.401111,15
121.601422,31.421856,16
121.590378,31.427544,17
121.572251,31.436067,18
121.558469,31.448792,19
121.549768,31.457064,20
121.543277,31.462399,21
121.537418,31.466701,22
121.52951,31.471167,23
121.516855,31.477316,24
121.512903,31.480345,25
121.510135,31.482575,26
121.509106,31.485357,27
121.508873,31.487658,28
121.509349,31.489801,29
121.511088,31.49178,30
121.513458,31.493359,31
121.516935,31.494302,32
121.52113,31.493973,33
121.549922,31.48975,34
121.562352,31.486372,35
121.565523,31.484939,36
121.567342,31.483506,37
121.569646,31.477946,38
121.572808,31.469448,39
121.575824,31.463808,40
121.580417,31.458802,41
121.583035,31.456259,42
121.585567,31.454671,43
121.59981,31.450684,44
121.60632,31.449408,45
121.621759,31.444148,46
121.673842,31.427748,47
121.688288,31.425882,48
121.697193,31.423993,49
121.708321,31.419726,50
121.723713,31.412359,51
121.729291,31.410351,52
121.737481,31.408814,53
121.742179,31.407206,54
121.746545,31.404724,55
121.753723,31.400362,56
121.760851,31.395185,57
121.769386,31.390744,58
121.774137,31.386985,59
121.780573,31.380157,60
121.783448,31.376711,61
121.787882,31.371636,62
121.790881,31.367062,63
121.79238,31.363305,64
121.792879,31.35911,65
121.793003,31.355071,66
121.796012,31.345623,67
121.796479,31.339783,68
121.796479,31.335419,69
121.795872,31.329982,70
121.794069,31.319547,71
121.792726,31.316728,72
121.790984,31.314314,73
121.787899,31.312002,74
121.78549,31.311064,75
121.782005,31.31033,76
121.778859,NA,77
121.621542,31.445816,78
121.616871,31.446642,79
121.613861,31.447886,80
121.594151,31.458573,81
121.589694,31.46148,82
121.586274,31.464076,83
121.577881,31.472489,84
121.57612,31.474774,85
121.575602,31.47685,86
121.575809,31.478199,87
121.577156,31.479339,88
121.579642,31.479647,89
121.586896,31.479537,90
121.595294,31.478288,91
121.602138,31.476835,92
121.60857,31.474449,93
121.613655,31.471338,94
121.625177,31.462214,95
121.631616,31.456825,96
121.635043,31.45299,97
121.63629,31.449878,98
121.635666,31.447802,99
121.634004,31.445932,100
121.631511,31.445099,101
121.627045,NA,102
122.242482,31.419186,103
122.242611,31.419303,104
122.242768,31.420382,105
122.242872,31.420597,106
122.243123,31.420685,107
122.243419,31.420666,108
122.243887,31.420412,109
122.244078,31.420381,110
122.244355,31.42047,111
122.244564,31.420685,112
122.245032,31.421264,113
122.245214,31.421323,114
122.245371,31.421314,115
122.245492,31.421242,116
122.245579,31.421028,117
122.245657,31.420915,118
122.24583,31.420845,119
122.245891,31.420756,120
122.245917,31.420556,121
122.245995,31.420493,122
122.246273,31.420446,123
122.246377,31.42038,124
122.246351,31.420283,125
122.24616,31.420146,126
122.246169,31.420046,127
122.246802,31.419948,128
122.246958,31.41982,129
122.247149,31.419332,130
122.247123,31.419134,131
122.247001,31.418967,132
122.246845,31.418924,133
122.246654,31.418939,134
122.246429,31.419028,135
122.246394,31.41898,136
122.246472,31.418833,137
122.246455,31.418726,138
122.246394,31.418657,139
122.246273,31.41864,140
122.246047,31.418798,141
122.245986,31.418765,142
122.245969,31.418533,143
122.245856,31.418427,144
122.245587,31.418338,145
122.245283,31.418349,146
122.245006,31.418466,147
122.244884,31.418471,148
122.244763,31.418408,149
122.244537,31.41826,150
122.244364,31.41826,151
122.244208,31.418338,152
122.243835,31.418608,153
122.243687,31.418647,154
122.243609,31.418608,155
122.243566,31.41853,156
122.243722,31.418185,157
122.243687,31.418046,158
122.243566,31.417833,159
122.243392,31.417746,160
122.243219,31.417766,161
122.242611,31.418116,162
122.242455,31.418174,163
122.242247,31.418196,164
122.241848,31.418174,165
122.241623,31.418225,166
122.241475,31.4184,167
122.241458,31.418646,168
122.241536,31.418863,169
122.24171,31.418999,170
122.242013,NA,171
121.88991,31.242595,172
121.897368,31.242113,173
121.905931,31.239413,174
121.915452,31.236555,175
121.923553,31.233862,176
121.926732,31.229735,177
121.927522,31.224019,178
121.925453,31.205436,179
121.922438,31.196858,180
121.918782,31.194315,181
121.91386,31.193835,182
121.908782,31.195265,183
121.901642,31.201457,184
121.889275,31.215002,185
121.885158,31.220524,186
121.88254,31.225607,187
121.881431,31.231166,188
121.880877,31.236328,189
121.881831,31.239583,190
121.88262,NA,191
121.407081,30.705096,192
121.407905,30.705135,193
121.408626,30.705204,194
121.408955,30.705204,195
121.409155,30.705076,196
121.409329,30.704857,197
121.409294,30.70452,198
121.409103,30.70432,199
121.408773,30.704093,200
121.40662,30.703089,201
121.406377,30.703031,202
121.406073,30.70305,203
121.405969,30.70317,204
121.405969,30.703448,205
121.406178,30.704242,206
121.40636,30.704707,207
121.406568,30.704916,208
121.406768,NA,209
121.423764,30.691322,210
121.424874,30.69138,211
121.425967,30.691479,212
121.426618,30.69128,213
121.427389,30.690683,214
121.428447,30.68977,215
121.428915,30.689114,216
121.428698,30.688577,217
121.428247,30.688222,218
121.425368,30.687369,219
121.424736,30.687469,220
121.424042,30.687906,221
121.423313,30.688563,222
121.422316,30.688961,223
121.421284,30.68914,224
121.420278,30.689479,225
121.419479,30.689855,226
121.418829,30.690511,227
121.418751,30.691106,228
121.41895,30.691405,229
121.419462,30.691622,230
121.420694,30.691641,231
121.422455,NA,232
121.427068,30.682126,233
121.428203,30.681856,234
121.428594,30.681747,235
121.42868,30.681695,236
121.428732,30.681595,237
121.428741,30.681484,238
121.428698,30.681369,239
121.428576,30.681246,240
121.428177,30.681137,241
121.427987,30.681038,242
121.4279,30.680914,243
121.427822,30.680667,244
121.427657,30.680398,245
121.427475,30.680278,246
121.42725,30.680209,247
121.427024,30.680235,248
121.42679,30.68031,249
121.426651,30.680459,250
121.426547,30.680711,251
121.426487,30.681124,252
121.426417,30.681734,253
121.426426,30.681997,254
121.426478,30.682127,255
121.426582,30.682166,256
121.426678,NA,257
121.800564,31.363992,258
121.797673,31.369639,259
121.794326,31.374829,260
121.792804,31.377577,261
121.792805,31.379407,262
121.79387,31.380473,263
121.796761,31.381079,264
121.803456,31.381222,265
121.810454,31.380752,266
121.81745,31.380588,267
121.820492,31.379972,268
121.82475,31.378592,269
121.8284,31.376449,270
121.831746,31.375528,271
121.836004,31.375215,272
121.841935,31.375052,273
121.845585,31.374587,274
121.852886,31.371371,275
121.858514,31.369379,276
121.870381,31.366006,277
121.87586,31.364169,278
121.879056,31.362793,279
121.910971,31.348242,280
121.913657,31.346283,281
121.914781,31.343255,282
121.908562,31.305512,283
121.907255,31.297576,284
121.904934,31.294954,285
121.901472,31.293528,286
121.88999,31.293978,287
