"lon","lat","order"
117.209782,40.082243,1
117.209288,40.082196,2
117.208551,40.082501,3
117.207798,40.082489,4
117.206636,40.081415,5
117.204278,40.079652,6
117.203905,40.079258,7
117.203489,40.078507,8
117.20342,40.078221,9
117.203611,40.076706,10
117.204347,40.07667,11
117.207242,40.076874,12
117.208178,40.076829,13
117.20797,40.075531,14
117.207623,40.074564,15
117.207077,40.073536,16
117.206635,40.072981,17
117.205829,40.072596,18
117.205603,40.072571,19
117.205543,40.070817,20
117.205412,40.070522,21
117.205239,40.070288,22
117.204355,40.06982,23
117.203592,40.069609,24
117.201599,40.069321,25
117.200412,40.068968,26
117.199866,40.06843,27
117.199345,40.067537,28
117.199328,40.067333,29
117.199189,40.067263,30
117.197569,40.067744,31
117.198575,40.070095,32
117.196478,40.070971,33
117.195854,40.070734,34
117.194996,40.071034,35
117.194173,40.07114,36
117.193359,40.071975,37
117.193003,40.072609,38
117.192284,40.072723,39
117.191851,40.072976,40
117.191678,40.073202,41
117.191314,40.073997,42
117.19121,40.074427,43
117.191089,40.076862,44
117.190292,40.077805,45
117.189721,40.078705,46
117.189088,40.079492,47
117.188768,40.080417,48
117.188828,40.08115,49
117.189288,40.081983,50
117.190397,40.082397,51
117.190076,40.082611,52
117.189487,40.082694,53
117.18921,40.082851,54
117.188638,40.083616,55
117.188023,40.084155,56
117.187719,40.084308,57
117.187044,40.084201,58
117.186827,40.08424,59
117.186286,40.084559,60
117.186195,40.084632,61
117.185736,40.084928,62
117.185519,40.085011,63
117.185303,40.084972,64
117.185173,40.084912,65
117.184965,40.084795,66
117.184973,40.084578,67
117.185013,40.084504,68
117.18538,40.083878,69
117.185346,40.083653,70
117.18512,40.083414,71
117.184635,40.083137,72
117.184037,40.082522,73
117.182971,40.081118,74
117.182157,40.081063,75
117.181689,40.080525,76
117.181542,40.080096,77
117.18194,40.079249,78
117.182295,40.07887,79
117.184972,40.077468,80
117.185908,40.076807,81
117.186419,40.076198,82
117.186453,40.075863,83
117.186358,40.075451,84
117.185916,40.075105,85
117.185007,40.074864,86
117.184183,40.074765,87
117.183932,40.074571,88
117.183594,40.072079,89
117.180249,40.069503,90
117.18018,40.069586,91
117.180449,40.070592,92
117.180258,40.070827,93
117.17811,40.071131,94
117.177382,40.071787,95
117.177122,40.071727,96
117.177035,40.071419,97
117.176775,40.071168,98
117.176177,40.071516,99
117.175588,40.071647,100
117.175398,40.072129,101
117.175424,40.072373,102
117.175667,40.072828,103
117.175545,40.073093,104
117.175112,40.073046,105
117.174566,40.073333,106
117.174402,40.073334,107
117.174038,40.072822,108
117.173786,40.072684,109
117.173578,40.072684,110
117.172868,40.073207,111
117.172236,40.074163,112
