"","pictureName","date","author","style","genre"
"415","Morning on the Seine, near Vetheuil","1878","Claude Monet","Impressionism","landscape"
"416","Mount Kolsaas","1895","Claude Monet","Impressionism","landscape"
"417","Mount Kolsaas 2","1895","Claude Monet","Impressionism","landscape"
"418","Mount Kolsaas 3","1895","Claude Monet","Impressionism","landscape"
"419","Mount Kolsaas in Misty Weather","1895","Claude Monet","Impressionism","landscape"
"420","Mount Kolsaas, Norway","1895","Claude Monet","Impressionism","landscape"
"421","Mount Kolsaas, Rose Reflection","1895","Claude Monet","Impressionism","landscape"
"422","NOT DETECTED",NA,"Claude Monet","flower painting","flower painting"
"423","NOT DETECTED",NA,"Claude Monet","cityscape","cityscape"
"424","Norman Farm through the Trees",NA,"Claude Monet","landscape","landscape"
"425","Norway, Sandviken Village in the Snow","1895","Claude Monet","Impressionism","landscape"
"426","Norwegian Landscape, Sandviken","1895","Claude Monet","Impressionism","landscape"
"427","Oat and Poppy Field","1890","Claude Monet","Impressionism","landscape"
"428","Oat and Poppy Field, Giverny","1890","Claude Monet","Impressionism","landscape"
"429","Olive Tree Wood in the Moreno Garden","1884","Claude Monet","Impressionism","landscape"
"430","Olive Trees (Study)","1884","Claude Monet","Impressionism","landscape"
"431","Olive Trees in Bordigher","1884","Claude Monet","Impressionism","landscape"
"432","On The Beach At Trouville","1871","Claude Monet","Impressionism","genre painting"
"433","On the Bank of the Seine, Bennecourt","1868","Claude Monet","Impressionism","genre painting"
"434","On the Cliff at Fecamp","1881","Claude Monet","Impressionism","landscape"
"435","On the Cliff near Dieppe","1897","Claude Monet","Impressionism","landscape"
"436","On the Coast at Trouville","1881","Claude Monet","Impressionism","landscape"
"437","Open Sea","1866","Claude Monet","Impressionism","marina"
"438","Orchard in Bloom","1879","Claude Monet","Impressionism","landscape"
"439","Palazzo Contarini","1908","Claude Monet","Impressionism","cityscape"
"440","Palazzo Contarini 2","1908","Claude Monet","Impressionism","cityscape"
"441","Palazzo Dario","1908","Claude Monet","Impressionism","cityscape"
"442","Palazzo Dario","1908","Claude Monet","Impressionism","cityscape"
"443","Palazzo Dario 3","1908","Claude Monet","Impressionism","cityscape"
"444","Palazzo Dario 4","1908","Claude Monet","Impressionism","cityscape"
"445","Palazzo da Mula at Venice","1908","Claude Monet","Impressionism","cityscape"
"446","Palazzo da Mulla","1908","Claude Monet","Impressionism","cityscape"
"447","Palm Tree at Bordighera","1884","Claude Monet","Impressionism","landscape"
"448","Palm Trees at Bordighera","1884","Claude Monet","Impressionism","landscape"
"449","Park Monceau","1876","Claude Monet","Impressionism","landscape"
"450","Park Monceau","1878","Claude Monet","Impressionism","genre painting"
"451","Park Monceau 2","1878","Claude Monet","Impressionism","landscape"
"452","Park Monceau 3","1878","Claude Monet","Impressionism","landscape"
"453","Park Monceau, Paris","1876","Claude Monet","Impressionism","landscape"
"454","Parliament, Reflections on the Thames","1905","Claude Monet","Impressionism","cityscape"
"455","Path at Giverny","1885","Claude Monet","Impressionism","landscape"
"456","Path at Giverny","1903","Claude Monet","Impressionism","landscape"
"457","Path at La Cavee, Pourville","1882","Claude Monet","Impressionism","landscape"
"458","Path at Pourville","1882","Claude Monet","Impressionism","landscape"
"459","Path at Pourville 02","1882","Claude Monet","Impressionism","landscape"
"460","Path at Varengeville","1882","Claude Monet","Impressionism","landscape"
"461","Path in the Fog","1887","Claude Monet","Impressionism","landscape"
"462","Path through the Forest, Snow Effect","1870","Claude Monet","Impressionism","landscape"
"463","Path through the Irises 01","1917","Claude Monet","Impressionism","flower painting"
"464","Path through the Irises 02","1917","Claude Monet","Impressionism","flower painting"
"465","Path under the Rose Arches, Giverny","1922","Claude Monet","Impressionism","landscape"
"466","Path under the Rose Trellises","1924","Claude Monet","Impressionism","landscape"
"467","Path under the Rose Trellises, Giverny","1922","Claude Monet","Impressionism","landscape"
"468","Path under the Rose Trellises, Giverny","1922","Claude Monet","Impressionism","landscape"
"469","Pathway in Monet's Garden at Giverny","1900","Claude Monet","Impressionism","landscape"
"470","Pathway in Monet's Garden at Giverny","1902","Claude Monet","Impressionism","landscape"
"471","Paysage of Norway, the Blue Houses","1895","Claude Monet","Impressionism","landscape"
"472","Peaches","1883","Claude Monet","Impressionism","still life"
"473","Pheasants And Plovers","1879","Claude Monet","Impressionism","still life"
"474","Pine Trees, Cap d'Antibes","1888","Claude Monet","Impressionism","landscape"
"475","Pleasure Boats, Argenteuil, c.1872-3 (oil on canvas)","1873","Claude Monet","Impressionism","landscape"
"476","Plum Trees in Blossom at Vetheuil","1879","Claude Monet","Impressionism","landscape"
"477","Plums Blossom","1879","Claude Monet","Impressionism","landscape"
"478","Pont of Honfleur Sun",NA,"Claude Monet","cityscape","cityscape"
"479","Poplars","1891","Claude Monet","Impressionism","landscape"
"480","Poplars (Four Trees)","1891","Claude Monet","Impressionism","landscape"
"481","Poplars at Giverny","1888","Claude Monet","Impressionism","landscape"
"482","Poplars at Giverny","1891","Claude Monet","Impressionism","landscape"
"483","Poplars at Giverny","1887","Claude Monet","Impressionism","landscape"
"484","Poplars on the Banks of the Epte","1891","Claude Monet","Impressionism","landscape"
"485","Poplars on the Banks of the Epte","1891","Claude Monet","Impressionism","landscape"
"486","Poplars on the Banks of the Epte, Autumn","1891","Claude Monet","Impressionism","landscape"
"487","Poplars on the Banks of the River Epte, Overcast Weather","1891","Claude Monet","Impressionism","landscape"
"488","Poplars on the Banks of the River Epte, Seen from the Marsh","1892","Claude Monet","Impressionism","landscape"
"489","Poplars on the Epte","1891","Claude Monet","Impressionism","landscape"
"490","Poplars, Autumn, Pink Effect","1891","Claude Monet","Impressionism","landscape"
"491","Poplars, Row in Autumn","1891","Claude Monet","Impressionism","landscape"
"492","Poplars, View from the Marsh","1892","Claude Monet","Impressionism","landscape"
"493","Poplars, Wind Effect","1891","Claude Monet","Impressionism","landscape"
"494","Poppies at Giverny","1887","Claude Monet","Impressionism","landscape"
"495","Poppy Field","1881","Claude Monet","Impressionism","landscape"
"496","Poppy Field at Giverny","1885","Claude Monet","Impressionism","landscape"
"497","Poppy Field in Giverny","1890","Claude Monet","Impressionism","landscape"
"498","Poppy Field in Giverny","1890","Claude Monet","Impressionism","landscape"
"499","Poppy Field in Giverny 02","1890","Claude Monet","Impressionism","landscape"
"500","Poppy Field in a Hollow near Giverny","1885","Claude Monet","Impressionism","landscape"
"501","Poppy Field near Vetheuil","1879","Claude Monet","Impressionism","landscape"
"502","Poppy Field, Argenteuil","1875","Claude Monet","Impressionism","landscape"
"503","Port Donnant, Belle Ile","1886","Claude Monet","Impressionism","landscape"
"504","Port d`Aval","1926","Claude Monet","Impressionism","landscape"
"505","Port d`Aval, Rough Sea","1883","Claude Monet","Impressionism","marina"
"506","Port of Dieppe, Evening","1882","Claude Monet","Impressionism","cityscape"
"507","Portrait of Eugenie Graff (Madame Paul)","1882","Claude Monet","Impressionism","portrait"
"508","Portrait of Germaine Hoschede with a Doll","1877","Claude Monet","Impressionism","portrait"
"509","Portrait of Jean Monet","1880","Claude Monet","Impressionism","portrait"
"510","Portrait of Jean Monet Wearing a Hat with a Pompom","1869","Claude Monet","Impressionism","portrait"
"511","Portrait of Jeanne Serveau","1880","Claude Monet","Impressionism","portrait"
"512","Portrait of Madame Gaudibert","1868","Claude Monet","Realism","portrait"
"513","Portrait of Michael with Hat and Pom Pom","1880","Claude Monet","Impressionism","portrait"
"514","Portrait of Pere Paul","1882","Claude Monet","Impressionism","portrait"
"515","Portrait of Poly, fisherman at Kervillaouen","1886","Claude Monet","Impressionism","portrait"
"516","Portrait of Suzanne Hoschede with Sunflowers","1890","Claude Monet","Impressionism","portrait"
"517","Port d `Amount Etretat","1873","Claude Monet","Impressionism","landscape"
"518","Pourville","1882","Claude Monet","Impressionism","landscape"
"519","Pourville, Sunset","1882","Claude Monet","Impressionism","landscape"
"520","Pourville, near Dieppe","1882","Claude Monet","Impressionism","landscape"
"521","Promenade near Argenteuil","1873","Claude Monet","Impressionism","genre painting"
"522","Purple Poppies","1883","Claude Monet","Impressionism","flower painting"
"523","Railway Bridge at Argenteuil","1873","Claude Monet","Impressionism","landscape"
"524","Railway Bridge at Argenteuil","1874","Claude Monet","Impressionism","landscape"
"525","Rain in Belle-Ile","1886","Claude Monet","Impressionism","landscape"
"526","Receding Waves","1883","Claude Monet","Impressionism","landscape"
"527","Red Boats, Argenteuil, 1875 (oil on canvas)","1875","Claude Monet","Impressionism","landscape"
"528","Red Houses at Bjornegaard in the Snow, Norway","1895","Claude Monet","Impressionism","cityscape"
"529","Red Mullets","1869","Claude Monet","Impressionism","still life"
"530","Red and Pink Poppies","1883","Claude Monet","Impressionism","flower painting"
"531","Red azaleas in a Pot","1883","Claude Monet","Impressionism","flower painting"
"532","Regatta at Argenteuil","1874","Claude Monet","Impressionism","landscape"
"533","Regatta at Argenteuil","1872","Claude Monet","Impressionism","landscape"
"534","Regatta at Sainte-Adresse","1867","Claude Monet",NA,"cityscape"
"535","Relaxing in the Garden, Argenteuil","1876","Claude Monet","Impressionism","genre painting"
"536","Rio della Salute","1908","Claude Monet","Impressionism","cityscape"
"537","Rio della Salute 02","1908","Claude Monet","Impressionism","cityscape"
"538","Rising Tide at Pourville","1882","Claude Monet","Impressionism","landscape"
"539","River Scene at Bennecourt","1868","Claude Monet","Impressionism","genre painting"
"540","River Thawing near Vetheuil","1880","Claude Monet","Impressionism","landscape"
"541","Riverbank at Argenteuil","1877","Claude Monet","Impressionism","landscape"
"542","Road at Louveciennes, Melting Snow, Sunset","1870","Claude Monet","Impressionism","cityscape"
"543","Road in a Forest Fontainebleau","1864","Claude Monet","Impressionism","landscape"
"544","Road near Giverny","1885","Claude Monet","Impressionism","landscape"
"545","Road near Giverny 02","1885","Claude Monet","Impressionism","landscape"
"546","Road of La Roche-Guyon","1880","Claude Monet","Impressionism","landscape"
"547","Road to Giverny in Winter","1885","Claude Monet","Impressionism","landscape"
"548","Road to the Saint-Simeon Farm","1864","Claude Monet","Impressionism","landscape"
"549","Rocks at Belle-Ile","1886","Claude Monet","Impressionism","landscape"
"550","Rocks at Belle-Ile, Port-Domois","1886","Claude Monet","Impressionism","landscape"
"551","Rocks at Falaise near Giverny","1885","Claude Monet","Impressionism","landscape"
"552","Rocks at Port Coton, the Lion Rock","1886","Claude Monet","Impressionism","landscape"
"553","Rocks on the Mediterranean Coast","1888","Claude Monet","Impressionism","landscape"
"554","Rocky Coast and the Lion Rock, Belle-Ile","1886","Claude Monet","Impressionism","landscape"
"555","Rocky Point at Port-Goulphar","1886","Claude Monet","Impressionism","landscape"
"556","Rose Arches at Giverny","1913","Claude Monet","Impressionism","landscape"
"557","Rose Flowered Arches at Giverny","1913","Claude Monet","Impressionism","landscape"
"558","Roses in the Hoshede`s Garden at Montregon","1876","Claude Monet","Impressionism","landscape"
"559","Rouen Cathedral","1893","Claude Monet","Impressionism","cityscape"
"560","Rouen Cathedral","1894","Claude Monet","Impressionism","cityscape"
"561","Rouen Cathedral 01","1894","Claude Monet","Impressionism","cityscape"
"562","Rouen Cathedral 02","1894","Claude Monet","Impressionism","cityscape"
"563","Rouen Cathedral at Noon","1894","Claude Monet","Impressionism","cityscape"
"564","Rouen Cathedral at Sunset","1894","Claude Monet","Impressionism","cityscape"
"565","Rouen Cathedral in the Fog","1894","Claude Monet","Impressionism","cityscape"
"566","Rouen Cathedral, Clear Day","1894","Claude Monet","Impressionism","cityscape"
"567","Rouen Cathedral, Grey Weather","1894","Claude Monet","Impressionism","cityscape"
"568","Rouen Cathedral, Magic in Blue","1894","Claude Monet","Impressionism","cityscape"
"569","Rouen Cathedral, Portal in the Sun","1894","Claude Monet","Impressionism","cityscape"
"570","Rouen Cathedral, Study of the Portal","1892","Claude Monet","Impressionism","cityscape"
"571","Rouen Cathedral, Sunlight Effect","1894","Claude Monet","Impressionism","cityscape"
"572","Rouen Cathedral, Symphony in Grey and Rose","1894","Claude Monet","Impressionism","cityscape"
"573","Rouen Cathedral, The Gate and The Tower","1894","Claude Monet","Impressionism","cityscape"
"574","Rouen Cathedral, The Portal and the Tour d'Albane at Dawn","1894","Claude Monet","Impressionism","cityscape"
"575","Rouen Cathedral, The Portal and the Tour d'Albene, Grey Weather","1894","Claude Monet","Impressionism","cityscape"
"576","Rouen Cathedral, The Portal at Midday","1893","Claude Monet","Impressionism","cityscape"
"577","Rouen Cathedral, West Facade, Noon","1894","Claude Monet","Impressionism","cityscape"
"578","Rouen Cathedral, West Facade, Sunlight","1894","Claude Monet","Impressionism","cityscape"
"579","Rouen Cathedral, evening, harmony in brown","1894","Claude Monet","Impressionism","cityscape"
"580","Rouen Cathedral, the Portal","1894","Claude Monet","Impressionism","cityscape"
"581","Rouen Cathedral, the Portal and the Tower d`Allban on the Sun","1894","Claude Monet","Impressionism","cityscape"
"582","Rouen Cathedral, the Portal and the tour d'Albane, Morning Effect","1894","Claude Monet","Impressionism","cityscape"
"583","Rouen Cathedral, the Portal in the Sun","1894","Claude Monet","Impressionism","cityscape"
"584","Rouen Cathedral, the Portal, Morning Effect","1894","Claude Monet","Impressionism","cityscape"
"585","Rouen Cathedral, the Portal, Morning Fog","1894","Claude Monet","Impressionism","cityscape"
"586","Rouen Cathedral,The Gate, Grey Weather","1894","Claude Monet","Impressionism","cityscape"
"587","Rough Sea","1881","Claude Monet","Impressionism","marina"
"588","Rough Sea at Etretat","1869","Claude Monet","Impressionism","landscape"
"589","Rough Sea at Etretat","1883","Claude Monet",NA,"landscape"
"590","Rowboat on the Seine at Jeufosse","1884","Claude Monet","Impressionism","landscape"
"591","Sailboat at Le Petit-Gennevilliers","1874","Claude Monet","Impressionism","landscape"
"592","Sailboats","1866","Claude Monet","Impressionism","marina"
"593","Sailboats at Sea, Pourville","1882","Claude Monet","Impressionism","landscape"
"594","Sailing At Sainte Adresse","1873","Claude Monet","Impressionism","landscape"
"595","Sailing Boats at Honfleur","1866","Claude Monet","Impressionism","cityscape"
"596","Saint Germain l'Auxerrois","1867","Claude Monet","Impressionism","cityscape"
"597","Saint-Adresse, Beached Sailboat","1865","Claude Monet","Impressionism","landscape"
"598","Saint-Lazare Gare,  Normandy Train","1887","Claude Monet","Impressionism","cityscape"
"599","Saint-Lazare Station","1877","Claude Monet","Impressionism","cityscape"
"600","Saint-Lazare Station, Arrival of a Train","1877","Claude Monet","Impressionism","cityscape"
"601","Saint-Lazare Station, Exterior","1876","Claude Monet","Impressionism","cityscape"
"602","Saint-Lazare Station, Exterior","1877","Claude Monet","Impressionism","cityscape"
"603","Saint-Lazare Station, Exterior View","1877","Claude Monet","Impressionism","cityscape"
"604","Saint-Lazare Station, Exterior View","1877","Claude Monet","Impressionism","cityscape"
"605","Saint-Lazare Station, Exterior View","1887","Claude Monet","Impressionism","cityscape"
"606","Saint-Lazare Station, Sunlight Effect","1877","Claude Monet","Impressionism","cityscape"
"607","Saint-Lazare Station, Track Coming out","1877","Claude Monet","Impressionism","cityscape"
"608","Saint-Lazare Station, the Western Region Goods Sheds","1877","Claude Monet","Impressionism","cityscape"
"609","Sainte-Adresse, Fishing Boats on the Shore","1867","Claude Monet","Impressionism","landscape"
"610","San Giorgio Maggiore","1908","Claude Monet","Impressionism","cityscape"
"611","San Giorgio Maggiore 2","1908","Claude Monet","Impressionism","cityscape"
"612","San Giorgio Maggiore 3","1908","Claude Monet","Impressionism","cityscape"
"613","San Giorgio Maggiore at Dusk","1908","Claude Monet","Impressionism","cityscape"
"614","San Giorgio Maggiore, Twilight","1908","Claude Monet","Impressionism","cityscape"
"615","Sandviken, Norway","1895","Claude Monet","Impressionism","cityscape"
"616","Scaters in Giverny","1899","Claude Monet","Impressionism","landscape"
"617","Sea Study","1881","Claude Monet","Impressionism","marina"
"618","Seacoast at Saint-Adresse, Sunset","1864","Claude Monet","Impressionism","landscape"
"619","Seagulls over the Houses of Parliament","1904","Claude Monet","Impressionism","cityscape"
"620","Seascape","1866","Claude Monet","Impressionism","marina"
"621","Seascape","1871","Claude Monet","Impressionism","landscape"
"622","Seascape near Fecamp","1881","Claude Monet","Impressionism","landscape"
"623","Seascape, Night Effect","1866","Claude Monet","Impressionism","marina"
"624","Section of the Seine, near Giverny","1885","Claude Monet","Impressionism","landscape"
"625","Seine at Asnieres","1873","Claude Monet","Impressionism","cityscape"
"626","Seine at Rouen","1872","Claude Monet","Impressionism","cityscape"
"627","Self Portrait","1917","Claude Monet","Impressionism","self-portrait"
"628","Self Portrait in his Atelier","1884","Claude Monet","Impressionism","self-portrait"
"629","Self-Portrait with a Beret","1886","Claude Monet","Impressionism","self-portrait"
"630","Shadows on the Sea at Pourville","1882","Claude Monet","Impressionism","landscape"
"631","Ships in Harbor","1873","Claude Monet","Impressionism","marina"
"632","Small Boat on the Small Branch of the Seine at Argenteuil","1872","Claude Monet","Impressionism","landscape"
"633","Small Branch of the Seine","1878","Claude Monet","Impressionism","landscape"
"634","Small Country Farm in Bordighera","1884","Claude Monet","Impressionism","landscape"
"635","Snow Effect at Falaise","1886","Claude Monet","Impressionism","landscape"
"636","Snow Effect at Limetz","1886","Claude Monet","Impressionism","cityscape"
"637","Snow Effect with Setting Sun","1875","Claude Monet","Impressionism","cityscape"
"638","Snow Effect, Giverny","1893","Claude Monet","Impressionism","landscape"
"639","Snow Effect, The Boulevard de Pontoise at Argenteuil","1875","Claude Monet","Impressionism","cityscape"
"640","Snow Effect, The Road to Louveciennes","1870","Claude Monet","Impressionism","cityscape"
"641","Snow Effect, The Street in Argentuil","1875","Claude Monet","Impressionism","cityscape"
"642","Snow Scene at Argenteuil","1875","Claude Monet",NA,"landscape"
"643","Snow at Argenteuil","1875","Claude Monet","Impressionism","landscape"
"644","Snow at Argenteuil","1874","Claude Monet","Impressionism","landscape"
"645","Snow at Argenteuil 02","1874","Claude Monet","Impressionism","landscape"
"646","Spot on the Banks of the Seine","1881","Claude Monet","Impressionism","landscape"
"647","Spring","1875","Claude Monet","Impressionism","landscape"
"648","Spring Flowers","1864","Claude Monet","Impressionism","flower painting"
"649","Spring Landscape","1894","Claude Monet","Impressionism","landscape"
"650","Springtime","1886","Claude Monet","Impressionism","genre painting"
"651","Springtime","1873","Claude Monet","Impressionism","landscape"
"652","Springtime","1880","Claude Monet","Impressionism","landscape"
"653","Springtime Landscape","1894","Claude Monet","Impressionism","landscape"
"654","Springtime Landscape at Giverny","1894","Claude Monet","Impressionism","landscape"
"655","Springtime at Giverny","1886","Claude Monet","Impressionism","landscape"
"656","Springtime in Giverny","1890","Claude Monet","Impressionism","landscape"
"657","Springtime in Vetheuil","1880","Claude Monet","Impressionism","landscape"
"658","Springtime. Meadow at Giverny","1894","Claude Monet","Impressionism","landscape"
"659","Still Life With Bottles","1863","Claude Monet","Realism","still life"
"660","Still Life with  Apples And Grapes","1879","Claude Monet","Impressionism","still life"
"661","Still Life with Melon","1872","Claude Monet","Impressionism","still life"
"662","Still Life with Pears and Grapes","1867","Claude Monet","Impressionism","still life"
"663","Still Life with Pears and Grapes","1880","Claude Monet","Impressionism","still life"
"664","Stilll Life with Anemones","1885","Claude Monet","Impressionism","flower painting"
"665","Storm at Belle-Ile","1886","Claude Monet","Impressionism","marina"
"666","Storm on the Cote de Belle-Ile","1886","Claude Monet","Impressionism","marina"
"667","Storm, off the Coast of Belle-Ile","1886","Claude Monet","Impressionism","marina"
"668","Stormy Seascape","1867","Claude Monet","Impressionism","marina"
"669","Stormy Seascape","1883","Claude Monet","Impressionism","landscape"
"670","Strada Romada in Bordighera","1884","Claude Monet","Impressionism","landscape"
"671","Street in Saint-Adresse","1867","Claude Monet","Impressionism","cityscape"
"672","Street of the Bavolle Honfleur","1864","Claude Monet","Impressionism","cityscape"
"673","Study of Rocks","1889","Claude Monet","Impressionism","landscape"
"674","Study Rushes at Argenteuil","1876","Claude Monet","Impressionism","landscape"
"675","Sun Setting over the Seine at Lavacourt. Winter Effect","1880","Claude Monet","Impressionism","landscape"
"676","Sunlight Effect under the Poplars","1887","Claude Monet","Impressionism","landscape"
"677","Sunrise, The Sea","1873","Claude Monet","Impressionism","marina"
"678","Sunset",NA,"Claude Monet","landscape","landscape"
"679","Sunset at Giverny","1886","Claude Monet","Impressionism","landscape"
"680","Sunset at Pourville","1882","Claude Monet","Impressionism","landscape"
"681","Sunset on the Seine at Lavacourt, Winter Effect","1880","Claude Monet","Impressionism","landscape"
"682","Sunset on the Seine in Winter","1880","Claude Monet","Impressionism","landscape"
"683","Sunset on the Siene","1874","Claude Monet","Impressionism","landscape"
"684","Sunset, Foggy Weather, Pourville","1882","Claude Monet","Impressionism","landscape"
"685","Taking a Walk on the Cliffs of Sainte-Adresse","1867","Claude Monet","Impressionism","landscape"
"686","The Ally Point, Low Tide","1882","Claude Monet","Impressionism","landscape"
"687","The Alps Seen from Cap d'Antibes","1888","Claude Monet","Impressionism","landscape"
"688","The Arm of the Seine","1878","Claude Monet","Impressionism","landscape"
"689","The Arm of the Siene at Jeufosse, Afternoon","1884","Claude Monet","Impressionism","landscape"
"690","The Artist's Family in the Garden","1875","Claude Monet","Impressionism","genre painting"
"691","The Artist's Garden at Vetheuil","1881","Claude Monet","Impressionism","genre painting"
"692",NA,NA,NA,NA,NA
"693","The Artist's House at Argenteuil","1873","Claude Monet","Impressionism","genre painting"
"694","The Artist's House at Giverny","1913","Claude Monet","Impressionism","landscape"
"695","The Artist's House from the Rose Garden","1924","Claude Monet","Impressionism","landscape"
"696","The Artist's House in Argenteuil","1876","Claude Monet","Impressionism","landscape"
"697","The Artist's House, View from the Rose Garden","1924","Claude Monet","Impressionism","landscape"
"698","The Avenue","1878","Claude Monet","Impressionism","landscape"
"699","The Ball Shaped Tree, Argenteuil","1876","Claude Monet","Impressionism","landscape"
"700","The Banks of The Seine in Autumn","1876","Claude Monet","Impressionism","landscape"
"701","The Banks of the Fjord at Christiania","1895","Claude Monet","Impressionism","landscape"
"702","The Banks of the River Epte at Giverny","1887","Claude Monet","Impressionism","landscape"
"703","The Banks of the River Epte in Springtime","1885","Claude Monet","Impressionism","landscape"
"704","The Banks of the Seine","1878","Claude Monet","Impressionism","landscape"
"705","The Banks of the Seine at Argenteuil","1872","Claude Monet","Impressionism","landscape"
"706","The Banks of the Seine at Port-Villez","1885","Claude Monet","Impressionism","landscape"
"707","The Banks of the Seine at the Argenteuil Bridge","1874","Claude Monet","Impressionism","landscape"
"708","The Banks of the Seine, Ile de la Grande-Jatte","1878","Claude Monet","Impressionism","landscape"
"709","The Banks of the Seine, Lavacourt","1878","Claude Monet","Impressionism","landscape"
"710","The Banks of the Seine, Lavacourt 02","1878","Claude Monet","Impressionism","landscape"
"711","The Basin at Argenteuil","1872","Claude Monet","Impressionism","cityscape"
"712","The Bay of Antibes","1888","Claude Monet","Impressionism","landscape"
"713","The Beach and the Falaise d'Amont","1885","Claude Monet","Impressionism","landscape"
"714","The Beach at Etretat","1883","Claude Monet","Impressionism","landscape"
"715","The Beach at Fecamp","1881","Claude Monet","Impressionism","landscape"
"716","The Beach at Honfleur","1866","Claude Monet","Impressionism","landscape"
"717","The Beach at Pourville","1882","Claude Monet","Impressionism","landscape"
"718","The Beach at Saint-Adresse","1876","Claude Monet","Impressionism","landscape"
"719","The Beach at Sainte-Adresse","1867","Claude Monet","Impressionism","landscape"
"720","The Beach at Trouville","1870","Claude Monet","Impressionism","genre painting"
"721","The Bend of the Seine at Lavacourt, Winter","1879","Claude Monet","Impressionism","landscape"
"722","The Big Blue Meditarranean at Antibes","1888","Claude Monet","Impressionism","landscape"
"723","The Big Blue Sea in Antibes","1888","Claude Monet","Impressionism","landscape"
"724","The Big Blue at Antibes","1888","Claude Monet","Impressionism","landscape"
"725","The Blue House at Zaandam","1871","Claude Monet","Impressionism","cityscape"
"726","The Blue Row Boat","1887","Claude Monet","Impressionism","genre painting"
"727","The Boardwalk at Trouville","1870","Claude Monet","Impressionism","cityscape"
"728","The Boardwalk on the Beach at Trouville","1870","Claude Monet","Impressionism","cityscape"
"729","The Boat Studio","1876","Claude Monet","Impressionism","genre painting"
"730","The Boats Regatta at Argenteuil","1874","Claude Monet","Impressionism","landscape"
"731","The Bodmer Oak","1865","Claude Monet","Impressionism","landscape"
"732","The Bodmer Oak, Fontainebleau","1865","Claude Monet","Impressionism","landscape"
"733","The Boulevard Heloise in Argenteuil","1872","Claude Monet","Impressionism","cityscape"
"734","The Break-up of the Ice","1880","Claude Monet","Impressionism","landscape"
"735","The Bridge at Argenteuil","1874","Claude Monet","Impressionism","cityscape"
"736","The Bridge at Argenteuil","1874","Claude Monet","Impressionism","cityscape"
"737","The Bridge at Argenteuil, Grey Weather","1874","Claude Monet","Impressionism","cityscape"
"738","The Bridge at Bougival","1869","Claude Monet","Impressionism","cityscape"
"739","The Bridge over the Seine","1874","Claude Monet","Impressionism","cityscape"
"740","The Bridge under Repair","1872","Claude Monet","Impressionism","cityscape"
"741","The Bridge, Amsterdam","1874","Claude Monet","Impressionism","cityscape"
"742","The Cabin at Saint-Adresse","1867","Claude Monet","Impressionism","landscape"
"743","The Castle in Antibes","1888","Claude Monet","Impressionism","landscape"
"744","The Castle of Dolceacqua","1884","Claude Monet","Impressionism","landscape"
"745","The Chapel Notre-Dame de Grace at Honfleur","1864","Claude Monet","Realism","cityscape"
"746","The Church At Vetheuil","1880","Claude Monet","Impressionism","cityscape"
"747","The Church at Varengaville, Grey Weather","1882","Claude Monet","Impressionism","landscape"
"748","The Church at Varengeville","1882","Claude Monet","Impressionism","landscape"
"749","The Church at Varengeville","1882","Claude Monet","Impressionism","landscape"
"750","The Church at Varengeville 02","1882","Claude Monet","Impressionism","landscape"
"751","The Church at Varengeville and the Gorge of Les Moutiers","1882","Claude Monet","Impressionism","landscape"
"752","The Church at Vetheuil under Snow","1879","Claude Monet","Impressionism","cityscape"
"753","The Church of Vetheuil","1881","Claude Monet","Impressionism","landscape"
"754","The Cliffs at Etretat","1886","Claude Monet","Impressionism","landscape"
"755","The Coast at Sainte-Adresse","1864","Claude Monet","Impressionism","landscape"
"756","The Coast of Varengeville","1882","Claude Monet","Impressionism","landscape"
"757","The Coastguard Cabin at Varengeville","1897","Claude Monet","Impressionism","landscape"
"758","The Corniche of Monaco","1884","Claude Monet","Impressionism","landscape"
"759","The Cote Sauvate","1896","Claude Monet","Impressionism","landscape"
"760","The Cour d'Albane","1892","Claude Monet","Impressionism","cityscape"
"761","The Cour d'Albane, Grey Weather","1892","Claude Monet","Impressionism","cityscape"
"762","The Creuse Valley, Evening Effect","1889","Claude Monet","Impressionism","landscape"
"763","The Custom`s House","1882","Claude Monet","Impressionism","landscape"
"764","The Departure of the Boats, Etretat","1885","Claude Monet","Impressionism","cityscape"
"765","The Dinner","1869","Claude Monet","Impressionism","genre painting"
"766","The Dinner","1869","Claude Monet","Impressionism","genre painting"
"767","The Doges' Palace","1908","Claude Monet","Impressionism","cityscape"
"768","The Doges' Palace Seen from San Giorgio Maggiore","1908","Claude Monet","Impressionism","cityscape"
"769","The Doges' Palace Seen from San Giorgio Maggiore 2","1908","Claude Monet","Impressionism","cityscape"
"770","The Doges' Palace Seen from San Giorgio Maggiore 3","1908","Claude Monet","Impressionism","cityscape"
"771","The Doges' Palace Seen from San Giorgio Maggiore 4","1908","Claude Monet","Impressionism","cityscape"
"772","The Doges' Palace Seen from San Giorgio Maggiore, Venice","1908","Claude Monet","Impressionism","cityscape"
"773","The Effect of Fog near Dieppe","1882","Claude Monet","Impressionism","landscape"
"774","The Entrance to Giverny under the Snow","1885","Claude Monet","Impressionism","landscape"
"775","The Esterel Mountains","1888","Claude Monet","Impressionism","landscape"
"776","The Estuary of the Siene","1868","Claude Monet","Impressionism","landscape"
"777","The Fjord, near Christiania","1893","Claude Monet","Impressionism","landscape"
"778","The Flood","1872","Claude Monet","Impressionism","landscape"
