"","pictureName","date","author","style","genre"
"140","Clematis","1897","Claude Monet","Impressionism","flower painting"
"141","Cliff at Dieppe","1882","Claude Monet","Impressionism","landscape"
"142","Cliff at Fecamp","1881","Claude Monet","Impressionism","landscape"
"143","Cliff at Grainval","1882","Claude Monet","Impressionism","landscape"
"144","Cliff at Grainval near Fecamp","1881","Claude Monet","Impressionism","landscape"
"145","Cliff at Petit Ailly","1896","Claude Monet","Impressionism","landscape"
"146","Cliff at Petit Ailly, at Varengeville","1896","Claude Monet","Impressionism","landscape"
"147","Cliff at Pourville","1896","Claude Monet","Impressionism","landscape"
"148","Cliff at Pourville","1896","Claude Monet","Impressionism","landscape"
"149","Cliff at Pourville 2","1896","Claude Monet","Impressionism","landscape"
"150","Cliff at Pourville in the Morning","1897","Claude Monet","Impressionism","landscape"
"151","Cliff at Sainte-Adresse","1873","Claude Monet","Impressionism","landscape"
"152","Cliff near Dieppe","1882","Claude Monet","Impressionism","landscape"
"153","Cliff near Dieppe","1896","Claude Monet","Impressionism","landscape"
"154","Cliff near Dieppe","1897","Claude Monet","Impressionism","landscape"
"155","Cliff near Dieppe 2","1897","Claude Monet","Impressionism","landscape"
"156","Cliff near Dieppe in the Morning","1897","Claude Monet","Impressionism","landscape"
"157","Cliff near Dieppe, Overcast Skies","1897","Claude Monet","Impressionism","landscape"
"158","Cliff near Fecamp","1881","Claude Monet","Impressionism","landscape"
"159","Cliff near Pourville","1882","Claude Monet","Impressionism","landscape"
"160","Cliffs Walk at Pourville","1882","Claude Monet","Impressionism","landscape"
"161","Cliffs and Sailboats at Pourville","1882","Claude Monet","Impressionism","landscape"
"162","Cliffs at Amont","1885","Claude Monet","Impressionism","landscape"
"163","Cliffs at Pourville in the Fog","1882","Claude Monet","Impressionism","landscape"
"164","Cliffs at Pourville, Morning","1897","Claude Monet","Impressionism","landscape"
"165","Cliffs at Pourville, Rain","1886","Claude Monet","Impressionism","landscape"
